Dia da semana;Data;Hora;Umidade solo;Umidade Ambiente;Temperatura;Volume �gua (L)
Terça;12/09/2023;08:26;48;43;25,5;0
Terça;12/09/2023;08:29;62;43;25,8;0
Terça;12/09/2023;08:39;45;43;25,7;0
Terça;12/09/2023;08:49;45;43;25,6;0
Terça;12/09/2023;08:58;0;42;25,9;0
Terça;12/09/2023;08:58;60;42;25,9;0,1
Terça;12/09/2023;08:59;66;42;25,9;0
Terça;12/09/2023;09:00;0;42;26,1;0
Terça;12/09/2023;09:06;0;43;26,1;0
Terça;12/09/2023;09:06;0;43;26,1;0
Terça;12/09/2023;09:14;0;0;44,9;0
Terça;12/09/2023;09:24;0;0;42,2;0
Terça;12/09/2023;09:25;56;1;41,3;0
Terça;12/09/2023;09:33;45;30;30,2;0
Terça;12/09/2023;09:43;43;37;27,9;0
Terça;12/09/2023;09:47;39;38;27,4;0
Terça;12/09/2023;09:47;42;38;27,4;0
Terça;12/09/2023;09:50;39;38;27,2;0
Terça;12/09/2023;09:50;62;38;27,2;0,02
Terça;12/09/2023;09:51;0;38;27,2;0
Terça;12/09/2023;09:51;61;38;27,2;0,09
Terça;12/09/2023;09:53;43;39;27,1;0
Terça;12/09/2023;10:00;38;40;26,7;0
Terça;12/09/2023;10:00;60;40;26,7;0,02
Terça;12/09/2023;10:01;52;41;26,7;0
Terça;12/09/2023;10:02;0;41;26,7;0
Terça;12/09/2023;10:02;63;41;26,7;0,03
Terça;12/09/2023;10:02;0;41;26,7;0
Terça;12/09/2023;10:02;62;41;26,7;0,02
Terça;12/09/2023;10:03;47;41;26,7;0
Terça;12/09/2023;10:03;0;40;26,6;0
Terça;12/09/2023;10:03;66;40;26,6;4,3
Terça;12/09/2023;10:03;66;40;26,6;0
Terça;12/09/2023;10:55;0;41;26,3;0
Terça;12/09/2023;10:55;60;41;26,3;0,01
Terça;12/09/2023;10:55;0;40;26,3;0
Terça;12/09/2023;10:55;60;40;26,3;0,09
Terça;12/09/2023;11:00;50;39;26,7;0
Terça;12/09/2023;11:01;0;40;26,8;0
Terça;12/09/2023;11:01;60;40;26,8;0,13
Terça;12/09/2023;11:04;73;39;26,9;0
Terça;12/09/2023;11:14;70;43;26,9;0
Terça;12/09/2023;11:24;67;45;26,7;0
Terça;12/09/2023;11:34;66;44;26,8;0
Terça;12/09/2023;11:44;65;42;26,8;0
Terça;12/09/2023;11:54;64;42;26,8;0
Terça;12/09/2023;12:04;64;41;26,8;0
Terça;12/09/2023;12:14;63;42;26,7;0
Terça;12/09/2023;12:24;63;40;26,6;0
Terça;12/09/2023;12:34;62;40;26,5;0
Terça;12/09/2023;12:44;63;36;26,6;0
Terça;12/09/2023;12:54;62;35;26,6;0
Terça;12/09/2023;13:04;62;35;26,6;0
Terça;12/09/2023;13:14;61;36;26,6;0
Terça;12/09/2023;13:24;61;30;26,7;0
Terça;12/09/2023;13:34;61;32;26,8;0
Terça;12/09/2023;13:44;61;32;26,8;0
Terça;12/09/2023;13:54;61;33;26,8;0
Terça;12/09/2023;14:04;60;32;26,8;0
Terça;12/09/2023;14:14;60;33;26,9;0
Terça;12/09/2023;14:24;60;31;26,9;0
Terça;12/09/2023;14:34;60;33;26,9;0
Terça;12/09/2023;14:44;60;32;27;0
Terça;12/09/2023;14:54;60;32;27;0
Terça;12/09/2023;15:04;59;31;27;0
Terça;12/09/2023;15:14;59;32;27,1;0
Terça;12/09/2023;15:24;59;32;27,1;0
Terça;12/09/2023;15:34;59;33;27,1;0
Terça;12/09/2023;15:44;59;32;27,2;0
Terça;12/09/2023;15:54;59;35;27,2;0
Terça;12/09/2023;16:04;60;34;27,3;0
Terça;12/09/2023;16:14;59;33;27,3;0
Terça;12/09/2023;16:24;59;33;27,3;0
Terça;12/09/2023;16:34;60;34;27,3;0
Terça;12/09/2023;16:44;59;34;27,3;0
Terça;12/09/2023;16:54;59;34;27,4;0
Terça;12/09/2023;17:04;59;34;27,4;0
Terça;12/09/2023;17:14;59;35;27,4;0
Terça;12/09/2023;17:24;59;35;27,4;0
Terça;12/09/2023;17:34;59;35;27,4;0
Terça;12/09/2023;17:44;58;35;27,5;0
Terça;12/09/2023;17:54;58;36;27,4;0
Terça;12/09/2023;18:04;58;36;27,5;0
Terça;12/09/2023;18:14;58;36;27,5;0
Terça;12/09/2023;18:24;58;36;27,5;0
Terça;12/09/2023;18:34;58;36;27,5;0
Terça;12/09/2023;18:44;58;36;27,5;0
Terça;12/09/2023;18:54;58;36;27,5;0
Terça;12/09/2023;19:04;58;36;27,5;0
Terça;12/09/2023;19:14;58;37;27,5;0
Terça;12/09/2023;19:24;57;37;27,5;0
Terça;12/09/2023;19:34;57;37;27,5;0
Terça;12/09/2023;19:44;57;37;27,5;0
Terça;12/09/2023;19:54;57;37;27,6;0
Terça;12/09/2023;20:04;57;38;27,6;0
Terça;12/09/2023;20:14;57;38;27,6;0
Terça;12/09/2023;20:24;57;38;27,6;0
Terça;12/09/2023;20:34;57;38;27,6;0
Terça;12/09/2023;20:44;57;38;27,5;0
Terça;12/09/2023;20:54;57;38;27,6;0
Terça;12/09/2023;21:04;57;38;27,6;0
Terça;12/09/2023;21:14;57;39;27,6;0
Terça;12/09/2023;21:24;57;39;27,6;0
Terça;12/09/2023;21:34;57;39;27,5;0
Terça;12/09/2023;21:44;57;39;27,6;0
Terça;12/09/2023;21:54;58;39;27,5;0
Terça;12/09/2023;22:04;57;39;27,5;0
Terça;12/09/2023;22:14;58;39;27,5;0
Terça;12/09/2023;22:24;57;39;27,5;0
Terça;12/09/2023;22:34;57;40;27,5;0
Terça;12/09/2023;22:44;57;40;27,5;0
Terça;12/09/2023;22:54;57;40;27,5;0
Terça;12/09/2023;23:04;57;41;27,4;0
Terça;12/09/2023;23:14;57;41;27,4;0
Terça;12/09/2023;23:24;57;41;27,4;0
Terça;12/09/2023;23:34;57;41;27,4;0
Terça;12/09/2023;23:44;57;41;27,4;0
Terça;12/09/2023;23:54;57;41;27,3;0
Quarta;13/09/2023;00:04;57;41;27,3;0
Quarta;13/09/2023;00:14;57;41;27,3;0
Quarta;13/09/2023;00:24;57;41;27,3;0
Quarta;13/09/2023;00:34;57;42;27,3;0
Quarta;13/09/2023;00:44;57;42;27,3;0
Quarta;13/09/2023;00:54;57;42;27,2;0
Quarta;13/09/2023;01:04;57;42;27,2;0
Quarta;13/09/2023;01:14;57;42;27,2;0
Quarta;13/09/2023;01:24;57;42;27,1;0
Quarta;13/09/2023;01:34;57;42;27,1;0
Quarta;13/09/2023;01:44;57;42;27;0
Quarta;13/09/2023;01:54;57;43;27;0
Quarta;13/09/2023;02:04;57;43;27;0
Quarta;13/09/2023;02:14;57;43;27;0
Quarta;13/09/2023;02:24;57;43;26,9;0
Quarta;13/09/2023;02:34;58;43;26,9;0
Quarta;13/09/2023;02:44;60;43;26,9;0
Quarta;13/09/2023;02:54;62;43;26,8;0
Quarta;13/09/2023;03:04;63;43;26,8;0
Quarta;13/09/2023;03:14;63;43;26,8;0
Quarta;13/09/2023;03:24;65;43;26,8;0
Quarta;13/09/2023;03:34;65;43;26,7;0
Quarta;13/09/2023;03:44;66;44;26,7;0
Quarta;13/09/2023;03:54;66;43;26,7;0
Quarta;13/09/2023;04:04;67;44;26,6;0
Quarta;13/09/2023;04:14;68;43;26,6;0
Quarta;13/09/2023;04:24;69;44;26,6;0
Quarta;13/09/2023;04:34;69;43;26,5;0
Quarta;13/09/2023;04:44;69;43;26,5;0
Quarta;13/09/2023;04:54;69;44;26,5;0
Quarta;13/09/2023;05:04;70;44;26,5;0
Quarta;13/09/2023;05:14;69;44;26,4;0
Quarta;13/09/2023;05:24;71;44;26,3;0
Quarta;13/09/2023;05:34;69;44;26,3;0
Quarta;13/09/2023;05:44;69;44;26,3;0
Quarta;13/09/2023;05:54;69;45;26,3;0
Quarta;13/09/2023;06:04;69;45;26,2;0
Quarta;13/09/2023;06:14;69;45;26,2;0
Quarta;13/09/2023;06:24;69;45;26,2;0
Quarta;13/09/2023;06:34;69;45;26,1;0
Quarta;13/09/2023;06:44;69;44;26,2;0
Quarta;13/09/2023;06:54;69;45;26,2;0
Quarta;13/09/2023;07:04;69;45;26,2;0
Quarta;13/09/2023;07:14;69;44;26,2;0
Quarta;13/09/2023;07:24;69;45;26,3;0
Quarta;13/09/2023;07:34;70;44;26,3;0
Quarta;13/09/2023;07:44;71;45;26,3;0
Quarta;13/09/2023;07:54;71;45;26,3;0
Quarta;13/09/2023;08:04;76;44;26,3;0
Quarta;13/09/2023;08:14;78;44;26,3;0
Quarta;13/09/2023;08:24;79;44;26,4;0
Quarta;13/09/2023;08:34;80;44;26,4;0
Quarta;13/09/2023;08:44;80;44;26,4;0
Quarta;13/09/2023;08:54;81;44;26,4;0
Quarta;13/09/2023;09:04;81;43;26,5;0
Quarta;13/09/2023;09:14;82;44;26,5;0
Quarta;13/09/2023;09:24;82;42;26,6;0
Quarta;13/09/2023;09:34;83;42;26,6;0
Quarta;13/09/2023;09:44;83;41;26,7;0
Quarta;13/09/2023;09:54;83;41;26,7;0
Quarta;13/09/2023;10:04;83;41;26,5;0
Quarta;13/09/2023;10:14;89;42;27,3;0
Quarta;13/09/2023;10:24;70;42;27;0
Quarta;13/09/2023;10:35;68;42;26,9;0
Quarta;13/09/2023;10:45;66;54;27;0
Quarta;13/09/2023;10:55;66;54;27;0
Quarta;13/09/2023;11:05;65;53;27,1;0
Quarta;13/09/2023;11:15;65;52;27,1;0
Quarta;13/09/2023;11:25;65;51;27,3;0
Quarta;13/09/2023;11:35;64;50;27,4;0
Quarta;13/09/2023;11:45;63;48;27,6;0
Quarta;13/09/2023;11:55;64;49;27,6;0
Quarta;13/09/2023;12:05;64;49;27,5;0
Quarta;13/09/2023;12:15;64;49;27,5;0
Quarta;13/09/2023;12:25;64;48;27,5;0
Quarta;13/09/2023;12:35;64;48;27,5;0
Quarta;13/09/2023;12:45;64;48;27,5;0
Quarta;13/09/2023;12:55;63;48;27,5;0
Quarta;13/09/2023;13:05;64;47;27,5;0
Quarta;13/09/2023;13:15;63;46;27,5;0
Quarta;13/09/2023;13:25;64;46;27,5;0
Quarta;13/09/2023;13:35;63;47;27,5;0
Quarta;13/09/2023;13:45;63;47;27,6;0
Quarta;13/09/2023;13:55;62;47;27,6;0
Quarta;13/09/2023;14:05;63;47;27,6;0
Quarta;13/09/2023;14:15;63;46;27,7;0
Quarta;13/09/2023;14:25;62;46;27,7;0
Quarta;13/09/2023;14:35;62;46;27,7;0
Quarta;13/09/2023;14:45;62;51;27,8;0
Quarta;13/09/2023;14:55;62;55;27,8;0
Quarta;13/09/2023;15:05;62;51;27,8;0
Quarta;13/09/2023;15:15;62;51;27,9;0
Quarta;13/09/2023;15:25;61;50;27,9;0
Quarta;13/09/2023;15:35;61;50;28;0
Quarta;13/09/2023;15:45;61;49;28;0
Quarta;13/09/2023;15:55;61;49;28,1;0
Quarta;13/09/2023;16:05;61;48;28,1;0
Quarta;13/09/2023;16:15;61;48;28,2;0
Quarta;13/09/2023;16:25;61;47;28,2;0
Quarta;13/09/2023;16:35;61;46;28,2;0
Quarta;13/09/2023;16:45;61;46;28,3;0
Quarta;13/09/2023;16:55;61;45;28,3;0
Quarta;13/09/2023;17:05;60;45;28,4;0
Quarta;13/09/2023;17:15;61;45;28,4;0
Quarta;13/09/2023;17:25;61;44;28,4;0
Quarta;13/09/2023;17:35;61;43;28,4;0
Quarta;13/09/2023;17:45;61;43;28,5;0
Quarta;13/09/2023;17:55;61;43;28,5;0
Quarta;13/09/2023;18:05;60;43;28,5;0
Quarta;13/09/2023;18:15;61;43;28,5;0
Quarta;13/09/2023;18:25;61;43;28,5;0
Quarta;13/09/2023;18:35;61;43;28,5;0
Quarta;13/09/2023;18:45;61;43;28,6;0
Quarta;13/09/2023;18:55;61;43;28,6;0
Quarta;13/09/2023;19:05;60;43;28,6;0
Quarta;13/09/2023;19:15;60;43;28,6;0
Quarta;13/09/2023;19:25;60;44;28,6;0
Quarta;13/09/2023;19:35;60;44;28,6;0
Quarta;13/09/2023;19:45;60;44;28,6;0
Quarta;13/09/2023;19:55;60;44;28,6;0
Quarta;13/09/2023;20:05;60;44;28,6;0
Quarta;13/09/2023;20:15;60;44;28,7;0
Quarta;13/09/2023;20:25;60;44;28,7;0
Quarta;13/09/2023;20:35;60;44;28,7;0
Quarta;13/09/2023;20:45;60;44;28,7;0
Quarta;13/09/2023;20:55;60;43;28,6;0
Quarta;13/09/2023;21:05;60;44;28,7;0
Quarta;13/09/2023;21:15;60;44;28,7;0
Quarta;13/09/2023;21:25;60;44;28,7;0
Quarta;13/09/2023;21:35;60;44;28,7;0
Quarta;13/09/2023;21:45;60;44;28,7;0
Quarta;13/09/2023;21:55;60;44;28,7;0
Quarta;13/09/2023;22:05;60;44;28,7;0
Quarta;13/09/2023;22:15;60;44;28,7;0
Quarta;13/09/2023;22:25;60;44;28,7;0
Quarta;13/09/2023;22:35;60;44;28,7;0
Quarta;13/09/2023;22:45;60;44;28,7;0
Quarta;13/09/2023;22:55;60;44;28,7;0
Quarta;13/09/2023;23:05;60;44;28,6;0
Quarta;13/09/2023;23:15;60;44;28,6;0
Quarta;13/09/2023;23:25;60;44;28,6;0
Quarta;13/09/2023;23:35;60;44;28,6;0
Quarta;13/09/2023;23:45;60;44;28,6;0
Quarta;13/09/2023;23:55;60;44;28,6;0
Quinta;14/09/2023;00:05;60;44;28,6;0
Quinta;14/09/2023;00:15;60;44;28,6;0
Quinta;14/09/2023;00:25;60;44;28,6;0
Quinta;14/09/2023;00:35;60;44;28,6;0
Quinta;14/09/2023;00:45;60;44;28,5;0
Quinta;14/09/2023;00:55;60;45;28,6;0
Quinta;14/09/2023;01:05;60;45;28,5;0
Quinta;14/09/2023;01:15;60;45;28,6;0
Quinta;14/09/2023;01:25;60;44;28,5;0
Quinta;14/09/2023;01:35;59;44;28,5;0
Quinta;14/09/2023;01:45;59;44;28,5;0
Quinta;14/09/2023;01:55;60;45;28,5;0
Quinta;14/09/2023;02:05;60;45;28,5;0
Quinta;14/09/2023;02:15;60;45;28,5;0
Quinta;14/09/2023;02:25;60;45;28,5;0
Quinta;14/09/2023;02:35;60;45;28,5;0
Quinta;14/09/2023;02:45;60;45;28,4;0
Quinta;14/09/2023;02:55;60;46;28,4;0
Quinta;14/09/2023;03:05;60;45;28,4;0
Quinta;14/09/2023;03:15;60;45;28,4;0
Quinta;14/09/2023;03:25;60;46;28,4;0
Quinta;14/09/2023;03:35;60;45;28,3;0
Quinta;14/09/2023;03:45;60;46;28,4;0
Quinta;14/09/2023;03:55;60;45;28,4;0
Quinta;14/09/2023;04:05;59;45;28,4;0
Quinta;14/09/2023;04:15;59;45;28,4;0
Quinta;14/09/2023;04:25;59;45;28,4;0
Quinta;14/09/2023;04:35;59;45;28,3;0
Quinta;14/09/2023;04:45;59;45;28,3;0
Quinta;14/09/2023;04:55;59;45;28,3;0
Quinta;14/09/2023;05:05;59;45;28,3;0
Quinta;14/09/2023;05:15;59;45;28,3;0
Quinta;14/09/2023;05:25;59;45;28,3;0
Quinta;14/09/2023;05:35;59;45;28,2;0
Quinta;14/09/2023;05:45;59;45;28,2;0
Quinta;14/09/2023;05:56;59;45;28,2;0
Quinta;14/09/2023;06:06;59;45;28,2;0
Quinta;14/09/2023;06:16;59;45;28,2;0
Quinta;14/09/2023;06:26;59;46;28,1;0
Quinta;14/09/2023;06:36;59;46;28,1;0
Quinta;14/09/2023;06:46;59;45;28,1;0
Quinta;14/09/2023;06:56;59;48;28,1;0
Quinta;14/09/2023;07:06;59;47;28,1;0
Quinta;14/09/2023;07:16;60;48;28,1;0
Quinta;14/09/2023;07:26;59;49;28,1;0
Quinta;14/09/2023;07:36;59;49;28,1;0
Quinta;14/09/2023;07:46;59;49;28,2;0
Quinta;14/09/2023;07:56;59;49;28,2;0
Quinta;14/09/2023;08:06;59;49;28,3;0
Quinta;14/09/2023;08:16;60;48;28,3;0
Quinta;14/09/2023;08:26;60;48;28,4;0
Quinta;14/09/2023;08:36;60;48;28,4;0
Quinta;14/09/2023;08:46;59;48;28,5;0
Quinta;14/09/2023;08:56;60;47;28,5;0
Quinta;14/09/2023;09:06;59;47;28,6;0
Quinta;14/09/2023;09:16;59;47;28,6;0
Quinta;14/09/2023;09:21;12;44;28,5;0
Quinta;14/09/2023;09:21;60;44;28,5;0
Quinta;14/09/2023;09:26;85;45;28,6;0
Quinta;14/09/2023;09:36;90;46;28,7;0
Quinta;14/09/2023;09:46;94;47;28,6;0
Quinta;14/09/2023;09:56;86;47;28,7;0
Quinta;14/09/2023;10:06;82;43;28,6;0
Quinta;14/09/2023;10:08;0;43;28,6;0
Quinta;14/09/2023;10:08;60;43;28,6;0
Quinta;14/09/2023;10:16;71;42;28,6;0
Quinta;14/09/2023;10:26;63;41;28,7;0
Quinta;14/09/2023;10:36;56;43;28,8;0
Quinta;14/09/2023;10:46;55;43;28,8;0
Quinta;14/09/2023;10:56;54;43;28,7;0
Quinta;14/09/2023;11:06;54;43;28,8;0
Quinta;14/09/2023;11:16;53;43;28,7;0
Quinta;14/09/2023;11:26;53;42;28,7;0
Quinta;14/09/2023;11:36;54;42;28,7;0
Quinta;14/09/2023;11:46;53;42;28,7;0
Quinta;14/09/2023;11:56;52;41;28,7;0
Quinta;14/09/2023;12:06;52;42;28,7;0
Quinta;14/09/2023;12:10;77;38;28,5;0
Quinta;14/09/2023;12:12;54;39;28,4;0
Quinta;14/09/2023;12:12;65;39;28,4;0,02
Quinta;14/09/2023;12:12;65;39;28,4;0
Quinta;14/09/2023;12:12;54;39;28,4;0
Quinta;14/09/2023;12:12;65;39;28,4;0,01
Quinta;14/09/2023;12:15;90;38;28,6;0
Quinta;14/09/2023;12:16;96;38;28,5;0
Quinta;14/09/2023;12:18;100;38;28,5;0
Quinta;14/09/2023;12:18;0;39;28,5;0
Quinta;14/09/2023;12:18;80;39;28,5;0
Quinta;14/09/2023;12:19;93;39;28,5;0
Quinta;14/09/2023;12:20;100;39;28,6;0
Quinta;14/09/2023;12:30;89;41;28,7;0
Quinta;14/09/2023;12:40;90;41;28,8;0
Quinta;14/09/2023;12:50;91;40;28,8;0
Quinta;14/09/2023;13:00;92;41;28,8;0
Quinta;14/09/2023;13:10;92;41;28,8;0
Quinta;14/09/2023;13:20;93;41;28,8;0
Quinta;14/09/2023;13:30;94;42;28,7;0
Quinta;14/09/2023;13:40;93;42;28,7;0
Quinta;14/09/2023;13:50;94;42;28,6;0
Quinta;14/09/2023;14:00;95;42;28,6;0
Quinta;14/09/2023;14:10;95;42;28,6;0
Quinta;14/09/2023;14:20;96;43;28,5;0
Quinta;14/09/2023;14:30;96;44;28,5;0
Quinta;14/09/2023;14:40;96;45;28,5;0
Quinta;14/09/2023;14:50;96;46;28,4;0
Quinta;14/09/2023;15:00;96;46;28,4;0
Quinta;14/09/2023;15:10;96;47;28,4;0
Quinta;14/09/2023;15:20;96;47;28,3;0
Quinta;14/09/2023;15:30;96;48;28,2;0
Quinta;14/09/2023;15:40;96;48;28,2;0
Quinta;14/09/2023;15:50;96;49;28,2;0
Quinta;14/09/2023;16:00;97;50;28,1;0
Quinta;14/09/2023;16:10;97;51;28,1;0
Quinta;14/09/2023;16:20;97;50;28;0
Quinta;14/09/2023;16:30;97;51;28;0
Quinta;14/09/2023;16:40;97;51;27,9;0
Quinta;14/09/2023;16:50;97;52;27,9;0
Quinta;14/09/2023;17:00;97;52;27,8;0
Quinta;14/09/2023;17:10;97;53;27,8;0
Quinta;14/09/2023;17:20;97;53;27,8;0
Quinta;14/09/2023;17:30;97;53;27,7;0
Quinta;14/09/2023;17:40;99;54;27,6;0
Quinta;14/09/2023;17:50;98;54;27,6;0
Quinta;14/09/2023;18:00;98;52;27,4;0
Quinta;14/09/2023;18:10;97;54;27,4;0
Quinta;14/09/2023;18:20;98;52;27,4;0
Quinta;14/09/2023;18:30;96;50;27,3;0
Quinta;14/09/2023;18:40;98;50;27,2;0
Quinta;14/09/2023;18:50;98;50;27,1;0
Quinta;14/09/2023;19:01;98;50;27;0
Quinta;14/09/2023;19:11;98;50;27;0
Quinta;14/09/2023;19:21;97;50;26,9;0
Quinta;14/09/2023;19:31;98;50;26,8;0
Quinta;14/09/2023;19:41;98;50;26,8;0
Quinta;14/09/2023;19:51;98;50;26,7;0
Quinta;14/09/2023;20:01;98;50;26,7;0
Quinta;14/09/2023;20:11;98;50;26,7;0
Quinta;14/09/2023;20:21;98;50;26,6;0
Quinta;14/09/2023;20:31;98;50;26,6;0
Quinta;14/09/2023;20:41;97;50;26,6;0
Quinta;14/09/2023;20:51;98;50;26,6;0
Quinta;14/09/2023;21:01;98;50;26,5;0
Quinta;14/09/2023;21:11;98;51;26,4;0
Quinta;14/09/2023;21:21;98;51;26,4;0
Quinta;14/09/2023;21:31;98;51;26,4;0
Quinta;14/09/2023;21:41;98;51;26,3;0
